pdf,month,sex_analysis,sex_aware_level,title_keywords,sex_keywords,n_keywords
Alzheimer s   Dementia - 2025 - Li - Multi‐omics delineate growth factor network underlying exercise effects in an.pdf,January,Yes,sex-aware consideration,none,sex as a biological variable,1
Alzheimer s   Dementia - 2025 - Liu - Identification of small fiber neuropathy in neuronal intranuclear inclusion disease .pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liu - Predicting amyloid beta accumulation in cognitively unimpaired older adults .pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liu - Sex differences in clinical phenotypes of behavioral variant frontotemporal dementia.pdf,January,Yes,sex-aware main focus,sex; sex differences,sex; sex differences; sex-specific; stratified by sex,4
Alzheimer s   Dementia - 2025 - Loy - Eating and swallowing care disparities in persons with dementia  A conceptual.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ma - Exploring epidemiological risk factors for cerebral amyloid angiopathy  Considerations.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Mansel - Distinct medical and substance use histories associate with cognitive decline in.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Menendez‐Gonzalez - Implementing a tridimensional diagnostic framework for personalized.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Molinare - Using remote  digital  multi‐day testing to characterize long‐term forgetting in.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mostert - Life span policies and macroeconomic transition will help the 21st‐century brain.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Moura - Comparing Alzheimer s genes in African  European  and Amerindian induced.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Muir - Plasma biomarkers distinguish Boston Criteria 2 0 cerebral amyloid angiopathy from.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Muller - Education and midlife cognitive functioning  Evidence from the High School and.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Murchland - Intimate partner violence and cognitive functioning   toward quantifying.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Nayyar - Influence of cognitive impairment and race on plasma p‐Tau217 in two diverse.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ono - Parkinsonism in Alzheimer s disease without Lewy bodies in association with nigral.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Padovani - The role of insulin resistance and APOE genotype on blood brain barrier.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pan - Associations of hippocampal volumes  brain hypometabolism  and plasma NfL with.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pardo - Alzheimer s disease patients have smaller venous drainage system compared to.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sewell - Blood biomarkers differentiate AD‐related versus non‐AD‐related cognitive deficits.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Shaw - Motor symptoms in autopsy‐confirmed Alzheimer s disease increase the risk of.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Shi - Retinal vascular alterations in cognitive impairment  A multicenter study in China.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Shrestha - Characterizing the olfaction and dementia association in the community‐based.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Shwab - Comparative mapping of single‐cell transcriptomic landscapes in neurodegenerative.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sim - A deep‐learning retinal aging biomarker for cognitive decline and incident dementia.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sim - Plasma proteomics for cognitive decline and dementia A Southeast Asian cohort study.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Simões‐Pires - Synergistic effects of the A  fibrinogen complex on synaptotoxicity .pdf,January,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Terstege - SSRIs reduce plasma tau and restore dorsal raphe metabolism in Alzheimer s.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Thompson - Insight into the etiology of Alzheimer s disease from GLP‐1R knockout mice .pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tian - Longitudinal patterns of brain aging and neurodegeneration among older adults with.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tort‐Merino - Decreased practice effects in cognitively unimpaired amyloid betapositive.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Wang - Diagnostic accuracy of plasma p‐tau217 A 42 for Alzheimer s disease in clinical and.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Tau pathology is associated with postsynaptic metabotropic glutamate receptor 5 .pdf,January,Yes,sex-aware main focus,sex,estrogen; gender-specific; sex; sex differences; sex-specific,5
Alzheimer s   Dementia - 2025 - Wang - The CentiMarker project  Standardizing quantitative Alzheimer s disease fluid.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wei - Prescription opioid use and cognitive function in older adults with chronic pain  A.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Willett - Identification of 16 novel Alzheimer s disease loci using multi‐ancestry.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wisse - Role of tau versus TDP‐43 pathology on medial temporal lobe atrophy in aging and.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Woo - Cholinergic degeneration and early cognitive signs in prodromal Lewy body dementia.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Wu - A systematic exposure‐wide framework leveraging machine learning to identify.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Xu - Response to the letter titled reply to  Associations of semaglutide with first‐time.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yao - Mechanisms of comorbidity between Alzheimer s disease and pain.pdf,January,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Younes - Amyloid PET predicts longitudinal functional and cognitive trajectories in a.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zabihi - Early presentations of dementia in a diverse population.pdf,January,No,none,none,,0
Alzheimer s   Dementia - 2025 -  - World Dementia Council  Research and clinical trials dialogue  Latin America and.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Berson - Mediterranean vs  Western diet effects on the primate cerebral cortical.pdf,February,Yes,sex-aware consideration,none,estrogen; sex differences,2
Alzheimer s   Dementia - 2025 - Cao - Structural changes in cerebral microvasculature induced by ferroptosis contribute to.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Carlsen - Cerebral proteome adaptations to amyloid angiopathy are prevented by carbonic.pdf,February,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Castelino - Mixed methods feasibility study of Music Attuned Technology Care via eHealth .pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Associations among sleep quality  sleep duration  and Alzheimer s disease biomarkers.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Decreased water exchange rate across the blood brain barrier throughout the.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Hyperactivation of RAB5 disrupts the endosomal Rab cascade leading to endolysosomal.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chicote‐González - Astrocytes  via RTP801  contribute to cognitive decline by disrupting.pdf,February,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Devanarayan - Predicted natural progression as an Alzheimer s prognostic covariate improves.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ding - Dynamic lifetime risk prediction of Alzheimer s disease with longitudinal cognitive.pdf,February,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Durcan - Novel blood‐based proteomic signatures across multiple neurodegenerative diseases.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ehrenberg - Pathways underlying selective neuronal vulnerability in Alzheimer s disease .pdf,February,Yes,sex-aware consideration,none,estrogen,1
Alzheimer s   Dementia - 2025 - Eroli - Commonly prescribed multi‐medication therapies exert sex‐specific effects on.pdf,February,Yes,sex-aware main focus,sex,estrogen; gender-specific; hormonal influence; sex; sex differences; sex-specific; sex-stratified; testosterone,8
Alzheimer s   Dementia - 2025 - Fertan - Lecanemab preferentially binds to smaller aggregates present at early Alzheimer s.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - French - Biomarkers of blood brain barrier and neurovascular unit integrity in human.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gao - Intraneuronal A  accumulation causes tau hyperphosphorylation via endolysosomal.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Garcia Castro - Sex differences in the executive and behavioral reserve of autosomal.pdf,February,Yes,sex-aware main focus,sex; sex differences,estrogen; menopause; sex; sex differences; sex interaction; sex-specific,6
Alzheimer s   Dementia - 2025 - Gavett - Harmonized cognitive performance in an older adult cohort of Vietnamese American.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Golan Shekhtman - Emotional response to amyloid beta status disclosure among research.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Guzmán‐Hernández - Fibrillar tau alters cerebral endothelial cell metabolism  vascular.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Htun - Social determinants of health and risk of dementia among older men and women  A.pdf,February,Yes,sex-aware consideration,none,gender-specific; sex differences; stratified by gender,3
Alzheimer s   Dementia - 2025 - Ivain - Validation of the CAMCOG‐DS‐II  a neuropsychological test battery for Alzheimer s.pdf,February,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Jaime Garcia - Blood biomarkers of vascular dysfunction in small vessel disease progression.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Jang - Accountable care organizations and Medicare payments for residents with ADRD in.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Jeong - Addressing overfitting bias due to sample overlap in polygenic risk scoring.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kamal - Racial and ethnic differences in white matter hypointensities  The role of vascular.pdf,February,Yes,sex-aware consideration,none,menopause,1
Alzheimer s   Dementia - 2025 - Karakose - Marital status and risk of dementia over 18 years  Surprising findings from the.pdf,February,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Lacovich - Developmental deletion of amyloid precursor protein precludes transcriptional.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lan - Heterogeneous brain abnormalities in subjective cognitive decline converge on a.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lee - Chronic stress  social support  and Alzheimer s blood‐based biomarkers in the HABS‐HD.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liang - Spatial‐temporal interactions between white matter hyperintensities and multiple.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liao - Interconnections of insulin IGF‐1 signaling and autophagy abnormalities in Alzheimer.pdf,February,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Lietzke - Synergistic reduction in interfacial flexibility of TREM2R47H and ApoE4 may.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lorenz - The effect of Alzheimer s disease genetic factors on limbic white matter.pdf,February,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Maphis - Targeting of phosphorylated tau at threonine 181 by a Q  virus‐like particle.pdf,February,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Maust - Clinician type and care setting for treatment of Medicare beneficiaries with.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Nakanishi - Associations among age at menopause  depressive symptoms  and cognitive.pdf,February,Yes,sex-aware main focus,menopause,estrogen; female-specific; male-specific; menopause; sex differences; sex-specific; stratified by sex,7
Alzheimer s   Dementia - 2025 - Rehman - Plasma protein risk scores for mild cognitive impairment and Alzheimer s disease.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Reho - Preclinical Alzheimer s disease shows alterations in circulating neuronal‐derived.pdf,February,Yes,sex-aware consideration,none,sex-stratified,1
Alzheimer s   Dementia - 2025 - Ren - Healthy lifestyle factors outweigh influence of APOE genetic risk on extending.pdf,February,Yes,sex-aware consideration,none,female-specific; male-specific; sex differences; sex-specific; sex-stratified,5
Alzheimer s   Dementia - 2025 - Rogalski - Efficacy of Communication Bridge‐2 for primary progressive aphasia  A randomized.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Safai - Association of neighborhood disadvantage with cognitive function and cortical.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Seaman - Trends in the use of advance care planning and cognitive assessment and care.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Shi - Presynaptic loss and axonal degeneration synergistically correlate with longitudinal.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Srikajornlarp - Exploring public perceptions of dementia on Twitter  X   a cross‐cultural.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Torok - Directionality bias underpins divergent spatiotemporal progression of.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tripathi - Connectome‐based predictive modeling of brain pathology and cognition in.pdf,February,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Wagemann - Exploratory analysis of the proteomic profile in plasma in adults with Down.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Modified titration of donanemab reduces ARIA risk and maintains amyloid reduction.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Neuronal ABCA7 deficiency aggravates mitochondrial dysfunction and neurodegeneration.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wei - Plasma biomarkers as core mediators in functional network abnormalities  Evidence.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Xu - Circulating proteomic biomarkers for cerebral amyloid angiopathy screening and risk.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yeapuri - Amyloid precursor protein and presenilin‐1 knock‐in immunodeficient mice exhibit.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yuan - Brain structural alterations in young women with premature ovarian insufficiency .pdf,February,Yes,sex-aware consideration,none,estrogen; menopause; sex differences; testosterone,4
Alzheimer s   Dementia - 2025 - Zhang - Individual and joint associations between sleep duration and physical activity with.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zou - Bayesian integration of longitudinal and survival outcomes in Alzheimer s disease.pdf,February,No,none,none,,0
Alzheimer s   Dementia - 2025 - Aiello - Microstructural assessment of the locus coeruleus entorhinal cortex pathway and.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Asada - Japanese participant data from three gantenerumab trials in early Alzheimer s-2.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Asada - Japanese participant data from three gantenerumab trials in early Alzheimer s.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Assaad - Factors associated with non‐participation in the Healthy Cognitive Ageing Project.pdf,March,Yes,sex-aware consideration,none,gender-specific,1
Alzheimer s   Dementia - 2025 - Barral - APOE and Alzheimer s disease and related dementias risk among 12 221 Hispanics.pdf,March,Yes,sex-aware consideration,none,sex-stratified,1
Alzheimer s   Dementia - 2025 - Barry - Longitudinal investigation of gait and Alzheimer s disease in adults with Down.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bellaver - Plasma GFAP for populational enrichment of clinical trials in preclinical.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bhattacharyya - Evaluating linked ICD‐10 Medicare claims data as a method of dementia case.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Brogaard - Extension and external validation of mapping between the Mini‐Mental State.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Collyer - Dual‐stream algorithms for dementia detection  Harnessing structured and.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Coogan - Neighborhood disadvantage and the incidence of dementia in US Black women.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cummings - Evaluation of cognitive  functional  and behavioral effects observed in EMERGE .pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Denecke - Reduced myelin contributes to cognitive impairment in patients with monogenic.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Donkor - Genetic and environmental risk factors for dementia in African adults  A.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gay - Relationship between use of anti‐platelet agents  oral anti‐coagulants  and A  burden.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gezegen - Unravelling the plasma proteome  Pioneering biomarkers for differential dementia.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gogniat - Increased sedentary behavior is associated with neurodegeneration and worse.pdf,March,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Grasset - Selected social and lifestyle correlates of brain health markers  the.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Grill - Increasing representation of Asian American  Native Hawaiian  and Pacific Islander-2.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Grill - Increasing representation of Asian American  Native Hawaiian  and Pacific Islander.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gu - Survey on diagnosis and treatment of cognitive impairment in Sichuan area in China.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - He - Sex differences in the confounders influencing the relationships linking socioeconomic.pdf,March,Yes,sex-aware main focus,sex; sex differences,sex; sex differences; sex-specific,3
Alzheimer s   Dementia - 2025 - Hojjati - Heterogeneous tau deposition patterns in the preclinical stage link to.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hou - Genome‐wide association analysis identifies APOE as a mitophagy modifier in Lewy body.pdf,March,Yes,sex-aware consideration,none,sex as a biological variable,1
Alzheimer s   Dementia - 2025 - Hyun - Exposure to neighborhood concentrated poverty is associated with faster decline in.pdf,March,Yes,sex-aware consideration,none,menopause,1
Alzheimer s   Dementia - 2025 - Jin - Inhibition of hippocampal mossy fiber plasticity and episodic memory by human A .pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Joe - Prevalence of dementia diagnoses in a safety net health system.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Jonaitis - Misfolded  ‐synuclein co‐occurrence with Alzheimer s disease proteinopathy.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kac - Plasma p‐tau212 as a biomarker of sporadic and Down syndrome Alzheimer s disease.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Karway - Regional variability of the impact of cardiometabolic diseases on incident.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kittle - An especially hidden population  sexual and gender minority dementia caregivers.pdf,March,Yes,sex-aware main focus,gender; sex,gender; sex,2
Alzheimer s   Dementia - 2025 - Kremen - A lifespan perspective on cognitive reserve and risk for dementia.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kumar - Analyzing heterogeneity in Alzheimer disease using multimodal normative modeling on.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kurose - Diverse tau pathologies in late‐life mood disorders revealed by PET and autopsy.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lampe - LGBTQ  identity social support and care access among LGBTQ  caregivers of.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Li - Relationships between neuropsychiatric symptoms  subtypes of astrocyte activities  and.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lin - Regular use of opioids and dementia  cognitive measures  and neuroimaging outcomes.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lin - Uncovering stage‐specific neural and molecular progression in Alzheimer s disease .pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liu - The impact of cholinesterase inhibitors on cognitive trajectories in mild cognitive.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Luan - Multimodal spatial gradients to explain regional susceptibility to fibrillar tau in.pdf,March,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Magagnoli - Association of nucleoside reverse transcriptase inhibitor use with reduced risk.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Magrath Guimet - Behavioral variant frontotemporal dementia  bvFTD   PET biomarker.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Maina - Somatic and Stem Cell Bank to study the contribution of African ancestry to.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mammen - Examining the lived experience of dementia with Lewy bodies through qualitative.pdf,March,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Manescu - Aquaporin 4 modulation drives amyloid burden and cognitive abilities in an APPPS1.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Marchant - A multiperspective investigation of the underrepresentation of minoritized.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - McKinley - Evidence‐based facilitator strategies for enhancing social engagement in groups.pdf,March,No,none,none,,0
