month,row,doi,pdf,country,status
January,25,10.1002/alz.14610,Alzheimer s   Dementia - 2025 - Dittrich - Evaluation of two plasma‐based proteotyping assays against APOE  4 genotyping in.pdf,Taiwan,ok
January,26,10.1002/alz.70060,Alzheimer s   Dementia - 2025 - Elzinga - Metabolic stress and age drive inflammation and cognitive decline in mice and.pdf,United States,ok
January,27,10.1002/alz.14595,Alzheimer s   Dementia - 2025 - Feng - Human herpesvirus‐associated transposable element activation in human aging brains.pdf,United States,ok
January,28,10.1002/alz.14575,Alzheimer s   Dementia - 2025 - Ferguson - Independent associations of high‐density lipoprotein cholesterol and.pdf,United States,ok
January,29,10.1002/alz.70030,Alzheimer s   Dementia - 2025 - Fioriti - Genetic and pharmacologic enhancement of SUMO2 conjugation prevents and reverses.pdf,United States,ok
January,30,10.1002/alz.70001,Alzheimer s   Dementia - 2025 - Fonseca - Cognitive vulnerability to glucose fluctuations  A digital phenotype of.pdf,United States,ok
January,31,10.1002/alz.70018,Alzheimer s   Dementia - 2025 - Ghirelli - Relationships between hypometabolism and both  ‐amyloid and tau PET in.pdf,United States,ok
January,32,10.1002/alz.14623,Alzheimer s   Dementia - 2025 - Grill - Disclosure of elevated amyloid status is not associated with long‐term suicidality.pdf,United States,ok
January,33,10.1002/alz.14580,Alzheimer s   Dementia - 2025 - Guo - Age at menopause and cognitive function and decline among middle‐aged and older women.pdf,United States,ok
January,34,10.1002/alz.70023,Alzheimer s   Dementia - 2025 - Gutiérrez‐Jiménez - Carbonic anhydrase inhibitors prevent presymptomatic capillary flow.pdf,United States,ok
January,35,10.1002/alz.70011,Alzheimer s   Dementia - 2025 - Heikal - Complexity of developing a nationwide model for a dementia registry in Egypt  A.pdf,Egypt,ok
January,36,10.1002/alz.14594,Alzheimer s   Dementia - 2025 - Hu - White matter injury  plasma Alzheimer s disease  and neurodegenerative biomarkers on.pdf,China,ok
January,37,10.1002/alz.14618,Alzheimer s   Dementia - 2025 - Huang - The interaction between dysfunction of vasculature and tauopathy in Alzheimer s.pdf,Philippines,ok
January,38,10.1002/alz.14590,Alzheimer s   Dementia - 2025 - Iacob - Caregiving at end‐of‐life  How do family structure and dementia status impact.pdf,United States,ok
January,39,10.1002/alz.70064,Alzheimer s   Dementia - 2025 - Januszewicz - Primary care preparedness to care for patients with ADRD  A national survey.pdf,United States,ok
January,40,10.1002/alz.14614,Alzheimer s   Dementia - 2025 - Johnson - Prevalence and factors associated with dementia in Lesotho  A cross‐sectional .pdf,United States,ok
January,41,10.1002/alz.14600,Alzheimer s   Dementia - 2025 - Karlsson - Machine learning prediction of tau‐PET in Alzheimer s disease using plasma  MRI .pdf,United States,ok
January,42,10.1002/alz.14589,Alzheimer s   Dementia - 2025 - Klee - Examining multimorbidity contributors to dementia over time.pdf,Luxembourg,ok
January,43,10.1002/alz.14606,Alzheimer s   Dementia - 2025 - Ko - Moderation of midlife cognitive activity on tau‐related cognitive impairment.pdf,United Kingdom,ok
January,44,10.1002/alz.70009,Alzheimer s   Dementia - 2025 - Lee - Dementia prevalence and risk factors in people with and without HIV in Malawi  A.pdf,United States,ok
January,45,10.1002/alz.70003,Alzheimer s   Dementia - 2025 - Leffa - Impact of the polygenic risk scores for attention‐deficit hyperactivity disorder in.pdf,United States,ok
January,46,10.1002/alz.70021,Alzheimer s   Dementia - 2025 - Li - Association between healthy lifestyle and cognitive decline  all‐cause mortality  and.pdf,China,ok
January,47,10.1002/alz.70024,Alzheimer s   Dementia - 2025 - Li - Multi‐omics delineate growth factor network underlying exercise effects in an.pdf,United States,ok
January,48,10.1002/alz.14596,Alzheimer s   Dementia - 2025 - Liu - Identification of small fiber neuropathy in neuronal intranuclear inclusion disease .pdf,China,ok
January,49,10.1002/alz.70036,Alzheimer s   Dementia - 2025 - Liu - Predicting amyloid beta accumulation in cognitively unimpaired older adults .pdf,Australia,ok
January,50,10.1002/alz.14608,Alzheimer s   Dementia - 2025 - Liu - Sex differences in clinical phenotypes of behavioral variant frontotemporal dementia.pdf,,country_not_found
January,51,10.1002/alz.70028,Alzheimer s   Dementia - 2025 - Loy - Eating and swallowing care disparities in persons with dementia  A conceptual.pdf,United States,ok
January,52,10.1002/alz.14602,Alzheimer s   Dementia - 2025 - Ma - Exploring epidemiological risk factors for cerebral amyloid angiopathy  Considerations.pdf,Australia,ok
January,53,10.1002/alz.70017,Alzheimer s   Dementia - 2025 - Mansel - Distinct medical and substance use histories associate with cognitive decline in.pdf,United States,ok
January,54,10.1002/alz.14591,Alzheimer s   Dementia - 2025 - Menendez‐Gonzalez - Implementing a tridimensional diagnostic framework for personalized.pdf,Spain,ok
January,55,10.1002/alz.70047,Alzheimer s   Dementia - 2025 - Molinare - Using remote  digital  multi‐day testing to characterize long‐term forgetting in.pdf,United States,ok
January,56,10.1002/alz.70006,Alzheimer s   Dementia - 2025 - Mostert - Life span policies and macroeconomic transition will help the 21st‐century brain.pdf,United States,ok
January,57,10.1002/alz.70031,Alzheimer s   Dementia - 2025 - Moura - Comparing Alzheimer s genes in African  European  and Amerindian induced.pdf,United States,ok
January,58,10.1002/alz.70010,Alzheimer s   Dementia - 2025 - Muir - Plasma biomarkers distinguish Boston Criteria 2 0 cerebral amyloid angiopathy from.pdf,United States,ok
January,59,10.1002/alz.70015,Alzheimer s   Dementia - 2025 - Muller - Education and midlife cognitive functioning  Evidence from the High School and.pdf,United States,ok
January,60,10.1002/alz.70029,Alzheimer s   Dementia - 2025 - Murchland - Intimate partner violence and cognitive functioning   toward quantifying.pdf,United States,ok
January,61,10.1002/alz.14585,Alzheimer s   Dementia - 2025 - Nayyar - Influence of cognitive impairment and race on plasma p‐Tau217 in two diverse.pdf,United States,ok
January,62,10.1002/alz.14628,Alzheimer s   Dementia - 2025 - Ono - Parkinsonism in Alzheimer s disease without Lewy bodies in association with nigral.pdf,United States,ok
January,63,10.1002/alz.14556,Alzheimer s   Dementia - 2025 - Padovani - The role of insulin resistance and APOE genotype on blood brain barrier.pdf,United Kingdom,ok
January,64,10.1002/alz.70005,Alzheimer s   Dementia - 2025 - Pan - Associations of hippocampal volumes  brain hypometabolism  and plasma NfL with.pdf,China,ok
January,65,10.1002/alz.14551,Alzheimer s   Dementia - 2025 - Pardo - Alzheimer s disease patients have smaller venous drainage system compared to.pdf,United States,ok
January,66,10.1002/alz.14619,Alzheimer s   Dementia - 2025 - Sewell - Blood biomarkers differentiate AD‐related versus non‐AD‐related cognitive deficits.pdf,United States,ok
January,67,10.1002/alz.70039,Alzheimer s   Dementia - 2025 - Shaw - Motor symptoms in autopsy‐confirmed Alzheimer s disease increase the risk of.pdf,United States,ok
January,68,10.1002/alz.14593,Alzheimer s   Dementia - 2025 - Shi - Retinal vascular alterations in cognitive impairment  A multicenter study in China.pdf,United States,ok
January,69,10.1002/alz.14613,Alzheimer s   Dementia - 2025 - Shrestha - Characterizing the olfaction and dementia association in the community‐based.pdf,United States,ok
January,70,10.1002/alz.70012,Alzheimer s   Dementia - 2025 - Shwab - Comparative mapping of single‐cell transcriptomic landscapes in neurodegenerative.pdf,United States,ok
January,71,10.1002/alz.14601,Alzheimer s   Dementia - 2025 - Sim - A deep‐learning retinal aging biomarker for cognitive decline and incident dementia.pdf,United Kingdom,ok
January,72,10.1002/alz.14577,Alzheimer s   Dementia - 2025 - Sim - Plasma proteomics for cognitive decline and dementia A Southeast Asian cohort study.pdf,United Kingdom,ok
January,73,10.1002/alz.70119,Alzheimer s   Dementia - 2025 - Simões‐Pires - Synergistic effects of the A  fibrinogen complex on synaptotoxicity .pdf,United States,ok
January,74,10.1002/alz.14579,Alzheimer s   Dementia - 2025 - Terstege - SSRIs reduce plasma tau and restore dorsal raphe metabolism in Alzheimer s.pdf,Canada,ok
January,75,10.1002/alz.70033,Alzheimer s   Dementia - 2025 - Thompson - Insight into the etiology of Alzheimer s disease from GLP‐1R knockout mice .pdf,Taiwan,ok
January,76,10.1002/alz.14612,Alzheimer s   Dementia - 2025 - Tian - Longitudinal patterns of brain aging and neurodegeneration among older adults with.pdf,United States,ok
January,77,10.1002/alz.70016,Alzheimer s   Dementia - 2025 - Tort‐Merino - Decreased practice effects in cognitively unimpaired amyloid betapositive.pdf,Spain,ok
January,78,10.1002/alz.70038,Alzheimer s   Dementia - 2025 - Wang - Diagnostic accuracy of plasma p‐tau217 A 42 for Alzheimer s disease in clinical and.pdf,United States,ok
January,79,10.1002/alz.70004,Alzheimer s   Dementia - 2025 - Wang - Tau pathology is associated with postsynaptic metabotropic glutamate receptor 5 .pdf,China,ok
January,80,10.1002/alz.14587,Alzheimer s   Dementia - 2025 - Wang - The CentiMarker project  Standardizing quantitative Alzheimer s disease fluid.pdf,United States,ok
January,81,10.1002/alz.70002,Alzheimer s   Dementia - 2025 - Wei - Prescription opioid use and cognitive function in older adults with chronic pain  A.pdf,United States,ok
January,82,10.1002/alz.14592,Alzheimer s   Dementia - 2025 - Willett - Identification of 16 novel Alzheimer s disease loci using multi‐ancestry.pdf,United States,ok
January,83,10.1002/alz.14582,Alzheimer s   Dementia - 2025 - Wisse - Role of tau versus TDP‐43 pathology on medial temporal lobe atrophy in aging and.pdf,United States,ok
January,84,10.1002/alz.14584,Alzheimer s   Dementia - 2025 - Woo - Cholinergic degeneration and early cognitive signs in prodromal Lewy body dementia.pdf,"Korea, Republic of",ok
January,85,10.1002/alz.14624,Alzheimer s   Dementia - 2025 - Wu - A systematic exposure‐wide framework leveraging machine learning to identify.pdf,China,ok
January,86,10.1002/alz.14611,Alzheimer s   Dementia - 2025 - Xu - Response to the letter titled reply to  Associations of semaglutide with first‐time.pdf,United States,ok
January,87,10.1002/alz.14605,Alzheimer s   Dementia - 2025 - Yao - Mechanisms of comorbidity between Alzheimer s disease and pain.pdf,China,ok
January,88,10.1002/alz.70075,Alzheimer s   Dementia - 2025 - Younes - Amyloid PET predicts longitudinal functional and cognitive trajectories in a.pdf,United States,ok
January,89,10.1002/alz.14578,Alzheimer s   Dementia - 2025 - Zabihi - Early presentations of dementia in a diverse population.pdf,United Kingdom,ok
February,2,10.1002/alz.70056,Alzheimer s   Dementia - 2025 -  - World Dementia Council  Research and clinical trials dialogue  Latin America and.pdf,,country_not_found
February,3,10.1002/alz.70041,Alzheimer s   Dementia - 2025 - Berson - Mediterranean vs  Western diet effects on the primate cerebral cortical.pdf,United States,ok
February,4,10.1002/alz.70103,Alzheimer s   Dementia - 2025 - Cao - Structural changes in cerebral microvasculature induced by ferroptosis contribute to.pdf,China,ok
February,5,10.1002/alz.70122,Alzheimer s   Dementia - 2025 - Carlsen - Cerebral proteome adaptations to amyloid angiopathy are prevented by carbonic.pdf,United States,ok
February,6,10.1002/alz.70124,Alzheimer s   Dementia - 2025 - Castelino - Mixed methods feasibility study of Music Attuned Technology Care via eHealth .pdf,United States,ok
February,7,10.1002/alz.70096,Alzheimer s   Dementia - 2025 - Chen - Associations among sleep quality  sleep duration  and Alzheimer s disease biomarkers.pdf,China,ok
February,8,10.1002/alz.70089,Alzheimer s   Dementia - 2025 - Chen - Decreased water exchange rate across the blood brain barrier throughout the.pdf,United States,ok
February,9,10.1002/alz.70046,Alzheimer s   Dementia - 2025 - Chen - Hyperactivation of RAB5 disrupts the endosomal Rab cascade leading to endolysosomal.pdf,United States,ok
February,10,10.1002/alz.70051,Alzheimer s   Dementia - 2025 - Chicote‐González - Astrocytes  via RTP801  contribute to cognitive decline by disrupting.pdf,Taiwan,ok
February,11,10.1002/alz.70045,Alzheimer s   Dementia - 2025 - Devanarayan - Predicted natural progression as an Alzheimer s prognostic covariate improves.pdf,United States,ok
February,12,10.1002/alz.70055,Alzheimer s   Dementia - 2025 - Ding - Dynamic lifetime risk prediction of Alzheimer s disease with longitudinal cognitive.pdf,United States,ok
February,13,10.1002/alz.70116,Alzheimer s   Dementia - 2025 - Durcan - Novel blood‐based proteomic signatures across multiple neurodegenerative diseases.pdf,United States,ok
February,14,10.1002/alz.70087,Alzheimer s   Dementia - 2025 - Ehrenberg - Pathways underlying selective neuronal vulnerability in Alzheimer s disease .pdf,United States,ok
February,15,10.1002/alz.70081,Alzheimer s   Dementia - 2025 - Eroli - Commonly prescribed multi‐medication therapies exert sex‐specific effects on.pdf,Sweden,ok
February,16,10.1002/alz.70086,Alzheimer s   Dementia - 2025 - Fertan - Lecanemab preferentially binds to smaller aggregates present at early Alzheimer s.pdf,United States,ok
February,17,10.1002/alz.70104,Alzheimer s   Dementia - 2025 - French - Biomarkers of blood brain barrier and neurovascular unit integrity in human.pdf,United States,ok
February,18,10.1002/alz.70091,Alzheimer s   Dementia - 2025 - Gao - Intraneuronal A  accumulation causes tau hyperphosphorylation via endolysosomal.pdf,Sweden,ok
February,19,10.1002/alz.70070,Alzheimer s   Dementia - 2025 - Garcia Castro - Sex differences in the executive and behavioral reserve of autosomal.pdf,United States,ok
February,20,10.1002/alz.70097,Alzheimer s   Dementia - 2025 - Gavett - Harmonized cognitive performance in an older adult cohort of Vietnamese American.pdf,United States,ok
February,21,10.1002/alz.70115,Alzheimer s   Dementia - 2025 - Golan Shekhtman - Emotional response to amyloid beta status disclosure among research.pdf,United States,ok
February,22,10.1002/alz.70077,Alzheimer s   Dementia - 2025 - Guzmán‐Hernández - Fibrillar tau alters cerebral endothelial cell metabolism  vascular.pdf,United States,ok
February,23,10.1002/alz.70065,Alzheimer s   Dementia - 2025 - Htun - Social determinants of health and risk of dementia among older men and women  A.pdf,United States,ok
February,24,10.1002/alz.70071,Alzheimer s   Dementia - 2025 - Ivain - Validation of the CAMCOG‐DS‐II  a neuropsychological test battery for Alzheimer s.pdf,United Kingdom,ok
February,25,10.1002/alz.70152,Alzheimer s   Dementia - 2025 - Jaime Garcia - Blood biomarkers of vascular dysfunction in small vessel disease progression.pdf,United Kingdom,ok
February,26,10.1002/alz.70067,Alzheimer s   Dementia - 2025 - Jang - Accountable care organizations and Medicare payments for residents with ADRD in.pdf,United States,ok
February,27,10.1002/alz.70109,Alzheimer s   Dementia - 2025 - Jeong - Addressing overfitting bias due to sample overlap in polygenic risk scoring.pdf,United States,ok
February,28,10.1002/alz.70105,Alzheimer s   Dementia - 2025 - Kamal - Racial and ethnic differences in white matter hypointensities  The role of vascular.pdf,Canada,ok
February,29,10.1002/alz.70072,Alzheimer s   Dementia - 2025 - Karakose - Marital status and risk of dementia over 18 years  Surprising findings from the.pdf,United States,ok
February,30,10.1002/alz.70093,Alzheimer s   Dementia - 2025 - Lacovich - Developmental deletion of amyloid precursor protein precludes transcriptional.pdf,United States,ok
February,31,10.1002/alz.70073,Alzheimer s   Dementia - 2025 - Lan - Heterogeneous brain abnormalities in subjective cognitive decline converge on a.pdf,United Kingdom,ok
February,32,10.1002/alz.70043,Alzheimer s   Dementia - 2025 - Lee - Chronic stress  social support  and Alzheimer s blood‐based biomarkers in the HABS‐HD.pdf,United States,ok
February,33,10.1002/alz.70098,Alzheimer s   Dementia - 2025 - Liang - Spatial‐temporal interactions between white matter hyperintensities and multiple.pdf,China,ok
February,34,10.1002/alz.70099,Alzheimer s   Dementia - 2025 - Liao - Interconnections of insulin IGF‐1 signaling and autophagy abnormalities in Alzheimer.pdf,United States,ok
February,35,10.1002/alz.70120,Alzheimer s   Dementia - 2025 - Lietzke - Synergistic reduction in interfacial flexibility of TREM2R47H and ApoE4 may.pdf,United States,ok
February,36,10.1002/alz.70130,Alzheimer s   Dementia - 2025 - Lorenz - The effect of Alzheimer s disease genetic factors on limbic white matter.pdf,United States,ok
February,37,10.1002/alz.70101,Alzheimer s   Dementia - 2025 - Maphis - Targeting of phosphorylated tau at threonine 181 by a Q  virus‐like particle.pdf,United States,ok
February,38,10.1002/alz.70102,Alzheimer s   Dementia - 2025 - Maust - Clinician type and care setting for treatment of Medicare beneficiaries with.pdf,United States,ok
February,39,10.1002/alz.70063,Alzheimer s   Dementia - 2025 - Nakanishi - Associations among age at menopause  depressive symptoms  and cognitive.pdf,United Kingdom,ok
February,40,10.1002/alz.70066,Alzheimer s   Dementia - 2025 - Rehman - Plasma protein risk scores for mild cognitive impairment and Alzheimer s disease.pdf,United States,ok
February,41,10.1002/alz.70050,Alzheimer s   Dementia - 2025 - Reho - Preclinical Alzheimer s disease shows alterations in circulating neuronal‐derived.pdf,United States,ok
February,42,10.1002/alz.70090,Alzheimer s   Dementia - 2025 - Ren - Healthy lifestyle factors outweigh influence of APOE genetic risk on extending.pdf,United States,ok
February,43,10.1002/alz.70088,Alzheimer s   Dementia - 2025 - Rogalski - Efficacy of Communication Bridge‐2 for primary progressive aphasia  A randomized.pdf,United States,ok
February,44,10.1002/alz.70095,Alzheimer s   Dementia - 2025 - Safai - Association of neighborhood disadvantage with cognitive function and cortical.pdf,United States,ok
February,45,10.1002/alz.70074,Alzheimer s   Dementia - 2025 - Seaman - Trends in the use of advance care planning and cognitive assessment and care.pdf,United States,ok
February,46,10.1002/alz.70080,Alzheimer s   Dementia - 2025 - Shi - Presynaptic loss and axonal degeneration synergistically correlate with longitudinal.pdf,China,ok
February,47,10.1002/alz.70042,Alzheimer s   Dementia - 2025 - Srikajornlarp - Exploring public perceptions of dementia on Twitter  X   a cross‐cultural.pdf,United Kingdom,ok
February,48,10.1002/alz.70092,Alzheimer s   Dementia - 2025 - Torok - Directionality bias underpins divergent spatiotemporal progression of.pdf,United States,ok
February,49,10.1002/alz.70061,Alzheimer s   Dementia - 2025 - Tripathi - Connectome‐based predictive modeling of brain pathology and cognition in.pdf,United States,ok
February,50,10.1002/alz.70040,Alzheimer s   Dementia - 2025 - Wagemann - Exploratory analysis of the proteomic profile in plasma in adults with Down.pdf,Taiwan,ok
February,51,10.1002/alz.70062,Alzheimer s   Dementia - 2025 - Wang - Modified titration of donanemab reduces ARIA risk and maintains amyloid reduction.pdf,United States,ok
February,52,10.1002/alz.70112,Alzheimer s   Dementia - 2025 - Wang - Neuronal ABCA7 deficiency aggravates mitochondrial dysfunction and neurodegeneration.pdf,United States,ok
February,53,10.1002/alz.70114,Alzheimer s   Dementia - 2025 - Wei - Plasma biomarkers as core mediators in functional network abnormalities  Evidence.pdf,China,ok
February,54,10.1002/alz.70044,Alzheimer s   Dementia - 2025 - Xu - Circulating proteomic biomarkers for cerebral amyloid angiopathy screening and risk.pdf,United States,ok
February,55,10.1002/alz.70084,Alzheimer s   Dementia - 2025 - Yeapuri - Amyloid precursor protein and presenilin‐1 knock‐in immunodeficient mice exhibit.pdf,United States,ok
February,56,10.1002/alz.70111,Alzheimer s   Dementia - 2025 - Yuan - Brain structural alterations in young women with premature ovarian insufficiency .pdf,China,ok
February,57,10.1002/alz.70049,Alzheimer s   Dementia - 2025 - Zhang - Individual and joint associations between sleep duration and physical activity with.pdf,,country_not_found
February,58,10.1002/alz.70094,Alzheimer s   Dementia - 2025 - Zou - Bayesian integration of longitudinal and survival outcomes in Alzheimer s disease.pdf,United States,ok
March,2,10.1002/alz.70126,Alzheimer s   Dementia - 2025 - Aiello - Microstructural assessment of the locus coeruleus entorhinal cortex pathway and.pdf,United States,ok
March,3,10.1002/alz.70192,Alzheimer s   Dementia - 2025 - Asada - Japanese participant data from three gantenerumab trials in early Alzheimer s-2.pdf,United States,ok
March,4,10.1002/alz.70192,Alzheimer s   Dementia - 2025 - Asada - Japanese participant data from three gantenerumab trials in early Alzheimer s-2.pdf,United States,ok
March,5,10.1002/alz.70169,Alzheimer s   Dementia - 2025 - Assaad - Factors associated with non‐participation in the Healthy Cognitive Ageing Project.pdf,United Kingdom,ok
March,6,10.1002/alz.70138,Alzheimer s   Dementia - 2025 - Barral - APOE and Alzheimer s disease and related dementias risk among 12 221 Hispanics.pdf,United States,ok
March,7,10.1002/alz.70211,Alzheimer s   Dementia - 2025 - Barry - Longitudinal investigation of gait and Alzheimer s disease in adults with Down.pdf,United States,ok
March,8,10.1002/alz.70209,Alzheimer s   Dementia - 2025 - Bellaver - Plasma GFAP for populational enrichment of clinical trials in preclinical.pdf,United States,ok
March,9,10.1002/alz.70200,Alzheimer s   Dementia - 2025 - Bhattacharyya - Evaluating linked ICD‐10 Medicare claims data as a method of dementia case.pdf,United States,ok
March,10,10.1002/alz.70163,Alzheimer s   Dementia - 2025 - Brogaard - Extension and external validation of mapping between the Mini‐Mental State.pdf,United Kingdom,ok
March,11,10.1002/alz.70132,Alzheimer s   Dementia - 2025 - Collyer - Dual‐stream algorithms for dementia detection  Harnessing structured and.pdf,United States,ok
March,12,10.1002/alz.70125,Alzheimer s   Dementia - 2025 - Coogan - Neighborhood disadvantage and the incidence of dementia in US Black women.pdf,United States,ok
March,13,10.1002/alz.70224,Alzheimer s   Dementia - 2025 - Cummings - Evaluation of cognitive  functional  and behavioral effects observed in EMERGE .pdf,United States,ok
March,14,10.1002/alz.70127,Alzheimer s   Dementia - 2025 - Denecke - Reduced myelin contributes to cognitive impairment in patients with monogenic.pdf,United Kingdom,ok
March,15,10.1002/alz.70220,Alzheimer s   Dementia - 2025 - Donkor - Genetic and environmental risk factors for dementia in African adults  A.pdf,Ghana,ok
March,16,10.1002/alz.70167,Alzheimer s   Dementia - 2025 - Gay - Relationship between use of anti‐platelet agents  oral anti‐coagulants  and A  burden.pdf,United States,ok
March,17,10.1002/alz.70162,Alzheimer s   Dementia - 2025 - Gezegen - Unravelling the plasma proteome  Pioneering biomarkers for differential dementia.pdf,United States,ok
March,18,10.1002/alz.70157,Alzheimer s   Dementia - 2025 - Gogniat - Increased sedentary behavior is associated with neurodegeneration and worse.pdf,United States,ok
March,19,10.1002/alz.70148,Alzheimer s   Dementia - 2025 - Grasset - Selected social and lifestyle correlates of brain health markers  the.pdf,,country_not_found
March,20,10.1002/alz.70144,Alzheimer s   Dementia - 2025 - Grill - Increasing representation of Asian American  Native Hawaiian  and Pacific Islander-2.pdf,United States,ok
March,21,10.1002/alz.70144,Alzheimer s   Dementia - 2025 - Grill - Increasing representation of Asian American  Native Hawaiian  and Pacific Islander-2.pdf,United States,ok
March,22,10.1002/alz.70203,Alzheimer s   Dementia - 2025 - Gu - Survey on diagnosis and treatment of cognitive impairment in Sichuan area in China.pdf,China,ok
March,23,10.1002/alz.70215,Alzheimer s   Dementia - 2025 - He - Sex differences in the confounders influencing the relationships linking socioeconomic.pdf,United States,ok
March,24,10.1002/alz.70153,Alzheimer s   Dementia - 2025 - Hojjati - Heterogeneous tau deposition patterns in the preclinical stage link to.pdf,United States,ok
March,25,10.1002/alz.70198,Alzheimer s   Dementia - 2025 - Hou - Genome‐wide association analysis identifies APOE as a mitophagy modifier in Lewy body.pdf,United States,ok
March,26,10.1002/alz.70139,Alzheimer s   Dementia - 2025 - Hyun - Exposure to neighborhood concentrated poverty is associated with faster decline in.pdf,United States,ok
March,27,10.1002/alz.70194,Alzheimer s   Dementia - 2025 - Jin - Inhibition of hippocampal mossy fiber plasticity and episodic memory by human A .pdf,United States,ok
March,28,10.1002/alz.70174,Alzheimer s   Dementia - 2025 - Joe - Prevalence of dementia diagnoses in a safety net health system.pdf,United States,ok
March,29,10.1002/alz.70205,Alzheimer s   Dementia - 2025 - Jonaitis - Misfolded  ‐synuclein co‐occurrence with Alzheimer s disease proteinopathy.pdf,United States,ok
March,30,10.1002/alz.70172,Alzheimer s   Dementia - 2025 - Kac - Plasma p‐tau212 as a biomarker of sporadic and Down syndrome Alzheimer s disease.pdf,United States,ok
March,31,10.1002/alz.70199,Alzheimer s   Dementia - 2025 - Karway - Regional variability of the impact of cardiometabolic diseases on incident.pdf,United States,ok
March,32,10.1002/alz.70190,Alzheimer s   Dementia - 2025 - Kittle - An especially hidden population  sexual and gender minority dementia caregivers.pdf,United States,ok
March,33,10.1002/alz.70176,Alzheimer s   Dementia - 2025 - Kremen - A lifespan perspective on cognitive reserve and risk for dementia.pdf,United States,ok
March,34,10.1002/alz.70143,Alzheimer s   Dementia - 2025 - Kumar - Analyzing heterogeneity in Alzheimer disease using multimodal normative modeling on.pdf,United States,ok
March,35,10.1002/alz.70195,Alzheimer s   Dementia - 2025 - Kurose - Diverse tau pathologies in late‐life mood disorders revealed by PET and autopsy.pdf,United States,ok
March,36,10.1002/alz.70188,Alzheimer s   Dementia - 2025 - Lampe - LGBTQ  identity social support and care access among LGBTQ  caregivers of.pdf,United States,ok
