pdf,month,datasets_found,matched_row
Alzheimer s   Dementia - 2025 - Wang - Neuronal ABCA7 deficiency aggravates mitochondrial dysfunction and neurodegeneration.pdf,February,ROSMAP; SEA-AD,52
Alzheimer s   Dementia - 2025 - Wei - Plasma biomarkers as core mediators in functional network abnormalities  Evidence.pdf,February,ADNI,53
Alzheimer s   Dementia - 2025 - Xu - Circulating proteomic biomarkers for cerebral amyloid angiopathy screening and risk.pdf,February,none,54
Alzheimer s   Dementia - 2025 - Yeapuri - Amyloid precursor protein and presenilin‐1 knock‐in immunodeficient mice exhibit.pdf,February,none,55
Alzheimer s   Dementia - 2025 - Yuan - Brain structural alterations in young women with premature ovarian insufficiency .pdf,February,none,56
Alzheimer s   Dementia - 2025 - Zhang - Individual and joint associations between sleep duration and physical activity with.pdf,February,none,57
Alzheimer s   Dementia - 2025 - Zou - Bayesian integration of longitudinal and survival outcomes in Alzheimer s disease.pdf,February,NACC; ADNI,58
Alzheimer s   Dementia - 2025 - Aiello - Microstructural assessment of the locus coeruleus entorhinal cortex pathway and.pdf,March,none,2
Alzheimer s   Dementia - 2025 - Asada - Japanese participant data from three gantenerumab trials in early Alzheimer s-2.pdf,March,ADNI,3
Alzheimer s   Dementia - 2025 - Asada - Japanese participant data from three gantenerumab trials in early Alzheimer s.pdf,March,ADNI,3
Alzheimer s   Dementia - 2025 - Assaad - Factors associated with non‐participation in the Healthy Cognitive Ageing Project.pdf,March,LASI-DAD,5
Alzheimer s   Dementia - 2025 - Barral - APOE and Alzheimer s disease and related dementias risk among 12 221 Hispanics.pdf,March,WHICAP; ADNI; UK Biobank; ADSP,6
Alzheimer s   Dementia - 2025 - Barry - Longitudinal investigation of gait and Alzheimer s disease in adults with Down.pdf,March,none,7
Alzheimer s   Dementia - 2025 - Bellaver - Plasma GFAP for populational enrichment of clinical trials in preclinical.pdf,March,WRAP; A4 Study,8
Alzheimer s   Dementia - 2025 - Bhattacharyya - Evaluating linked ICD‐10 Medicare claims data as a method of dementia case.pdf,March,none,9
Alzheimer s   Dementia - 2025 - Brogaard - Extension and external validation of mapping between the Mini‐Mental State.pdf,March,NACC; ADNI,10
Alzheimer s   Dementia - 2025 - Collyer - Dual‐stream algorithms for dementia detection  Harnessing structured and.pdf,March,none,11
Alzheimer s   Dementia - 2025 - Coogan - Neighborhood disadvantage and the incidence of dementia in US Black women.pdf,March,none,12
Alzheimer s   Dementia - 2025 - Cummings - Evaluation of cognitive  functional  and behavioral effects observed in EMERGE .pdf,March,none,13
Alzheimer s   Dementia - 2025 - Denecke - Reduced myelin contributes to cognitive impairment in patients with monogenic.pdf,March,none,14
Alzheimer s   Dementia - 2025 - Donkor - Genetic and environmental risk factors for dementia in African adults  A.pdf,March,UK Biobank,15
Alzheimer s   Dementia - 2025 - Gay - Relationship between use of anti‐platelet agents  oral anti‐coagulants  and A  burden.pdf,March,ADNI; A4 Study,16
Alzheimer s   Dementia - 2025 - Gezegen - Unravelling the plasma proteome  Pioneering biomarkers for differential dementia.pdf,March,MAPT,17
Alzheimer s   Dementia - 2025 - Gogniat - Increased sedentary behavior is associated with neurodegeneration and worse.pdf,March,UK Biobank,18
Alzheimer s   Dementia - 2025 - Grasset - Selected social and lifestyle correlates of brain health markers  the.pdf,March,UK Biobank,19
Alzheimer s   Dementia - 2025 - Grill - Increasing representation of Asian American  Native Hawaiian  and Pacific Islander-2.pdf,March,NACC,20
Alzheimer s   Dementia - 2025 - Grill - Increasing representation of Asian American  Native Hawaiian  and Pacific Islander.pdf,March,NACC,20
Alzheimer s   Dementia - 2025 - Gu - Survey on diagnosis and treatment of cognitive impairment in Sichuan area in China.pdf,March,none,22
Alzheimer s   Dementia - 2025 - He - Sex differences in the confounders influencing the relationships linking socioeconomic.pdf,March,UK Biobank,23
Alzheimer s   Dementia - 2025 - Hojjati - Heterogeneous tau deposition patterns in the preclinical stage link to.pdf,March,none,24
Alzheimer s   Dementia - 2025 - Hou - Genome‐wide association analysis identifies APOE as a mitophagy modifier in Lewy body.pdf,March,MAPT,25
Alzheimer s   Dementia - 2025 - Hyun - Exposure to neighborhood concentrated poverty is associated with faster decline in.pdf,March,none,26
Alzheimer s   Dementia - 2025 - Jin - Inhibition of hippocampal mossy fiber plasticity and episodic memory by human A .pdf,March,none,27
Alzheimer s   Dementia - 2025 - Joe - Prevalence of dementia diagnoses in a safety net health system.pdf,March,none,28
Alzheimer s   Dementia - 2025 - Jonaitis - Misfolded  ‐synuclein co‐occurrence with Alzheimer s disease proteinopathy.pdf,March,NACC; WRAP; ADNI,29
Alzheimer s   Dementia - 2025 - Kac - Plasma p‐tau212 as a biomarker of sporadic and Down syndrome Alzheimer s disease.pdf,March,none,30
Alzheimer s   Dementia - 2025 - Karway - Regional variability of the impact of cardiometabolic diseases on incident.pdf,March,none,31
Alzheimer s   Dementia - 2025 - Kittle - An especially hidden population  sexual and gender minority dementia caregivers.pdf,March,none,32
Alzheimer s   Dementia - 2025 - Kremen - A lifespan perspective on cognitive reserve and risk for dementia.pdf,March,none,33
Alzheimer s   Dementia - 2025 - Kumar - Analyzing heterogeneity in Alzheimer disease using multimodal normative modeling on.pdf,March,Knight ADRC; ADNI,34
Alzheimer s   Dementia - 2025 - Kurose - Diverse tau pathologies in late‐life mood disorders revealed by PET and autopsy.pdf,March,ADNI; J-ADNI,35
Alzheimer s   Dementia - 2025 - Lampe - LGBTQ  identity social support and care access among LGBTQ  caregivers of.pdf,March,none,36
Alzheimer s   Dementia - 2025 - Li - Relationships between neuropsychiatric symptoms  subtypes of astrocyte activities  and.pdf,March,ADNI,37
Alzheimer s   Dementia - 2025 - Lin - Regular use of opioids and dementia  cognitive measures  and neuroimaging outcomes.pdf,March,UK Biobank,38
Alzheimer s   Dementia - 2025 - Lin - Uncovering stage‐specific neural and molecular progression in Alzheimer s disease .pdf,March,PREVENT-AD,39
Alzheimer s   Dementia - 2025 - Liu - The impact of cholinesterase inhibitors on cognitive trajectories in mild cognitive.pdf,March,ADNI,40
Alzheimer s   Dementia - 2025 - Luan - Multimodal spatial gradients to explain regional susceptibility to fibrillar tau in.pdf,March,ADNI; MAPT; A4 Study,41
Alzheimer s   Dementia - 2025 - Magagnoli - Association of nucleoside reverse transcriptase inhibitor use with reduced risk.pdf,March,none,42
Alzheimer s   Dementia - 2025 - Magrath Guimet - Behavioral variant frontotemporal dementia  bvFTD   PET biomarker.pdf,March,ADNI; MAPT,43
Alzheimer s   Dementia - 2025 - Maina - Somatic and Stem Cell Bank to study the contribution of African ancestry to.pdf,March,Knight ADRC; ADNI; MAPT; SAGES,44
Alzheimer s   Dementia - 2025 - Mammen - Examining the lived experience of dementia with Lewy bodies through qualitative.pdf,March,NACC,45
Alzheimer s   Dementia - 2025 - Manescu - Aquaporin 4 modulation drives amyloid burden and cognitive abilities in an APPPS1.pdf,March,none,46
Alzheimer s   Dementia - 2025 - Marchant - A multiperspective investigation of the underrepresentation of minoritized.pdf,March,NACC; ADNI; UK Biobank,47
Alzheimer s   Dementia - 2025 - McKinley - Evidence‐based facilitator strategies for enhancing social engagement in groups.pdf,March,none,48
Alzheimer s   Dementia - 2025 - McLachlan - The striatum is an early  accurate indicator of amyloid burden using  11C PiB.pdf,March,none,49
Alzheimer s   Dementia - 2025 - Mei - Unraveling sex differences in Alzheimer s disease and related endophenotypes with.pdf,March,none,50
Alzheimer s   Dementia - 2025 - Meza - Intergenerational upward educational mobility and cognitive performance  results.pdf,March,none,51
Alzheimer s   Dementia - 2025 - Mmadumbu - Early detection of Alzheimer s disease using deep learning methods.pdf,March,NACC; ADNI,52
Alzheimer s   Dementia - 2025 - Molen - Changing definitions of disease  Transformations in the diagnostic criteria for.pdf,March,none,53
Alzheimer s   Dementia - 2025 - Mutel - Resilience in Alzheimer s disease  Impact of operationalization and methodological.pdf,March,none,54
Alzheimer s   Dementia - 2025 - Nishimoto - Distinct patterns of cognitive traits in extreme old age and Alzheimer s.pdf,March,ADNI; J-ADNI,55
Alzheimer s   Dementia - 2025 - Oeckl - Early increase of the synaptic blood marker  ‐synuclein in asymptomatic autosomal.pdf,March,none,56
Alzheimer s   Dementia - 2025 - Oyagbemi - Apigenin mitigates oxidative stress  neuroinflammation  and cognitive impairment.pdf,March,none,57
Alzheimer s   Dementia - 2025 - Pan - Federated learning with multi‐cohort real‐world data for predicting the progression.pdf,March,NACC,58
Alzheimer s   Dementia - 2025 - Papp - Baseline cognition and demographic  lifestyle  and cardiovascular risk factors in US.pdf,March,UK Biobank,59
Alzheimer s   Dementia - 2025 - Pike - Cognitive benefits of hearing intervention vary by risk of cognitive decline  A.pdf,March,none,60
Alzheimer s   Dementia - 2025 - Pola - Exploring inflammation‐related protein expression and its relationship with TSPO PET.pdf,March,SEA-AD,61
Alzheimer s   Dementia - 2025 - Rea Reyes - Targeted proteomic biomarker profiling using NULISA in a cohort enriched with.pdf,March,NACC; WRAP; MAPT,62
Alzheimer s   Dementia - 2025 - Rodda - Global multi‐specialty clinician perspectives on the implementation of Alzheimer s.pdf,March,ADNI; BrainLat,63
Alzheimer s   Dementia - 2025 - Russell - Brain cholinergic terminal density utilizing  18F ‐fluoroethoxybenzovesamicol PET.pdf,March,none,64
Alzheimer s   Dementia - 2025 - Salardini - Elevated serum cortisol associated with early‐detected increase of brain.pdf,March,ADNI,65
Alzheimer s   Dementia - 2025 - Samuelsson - A comparative study of the EAT‐Lancet diet and the Mediterranean diet in.pdf,March,ADNI; AddNeuroMed; AIBL; UK Biobank; J-ADNI,66
Alzheimer s   Dementia - 2025 - Sauer - Development and validation of a novel Simoa assay for NPTX2 in Alzheimer s disease.pdf,March,ADNI,67
