doi,title,year,published_online,volume,issue,page,type,n_authors,first_author,last_author,url,abstract_available,access_status
10.1002/alz.13977,Issue Information,2025,2025-01-30,21,1,,journal-article,0,,,https://doi.org/10.1002/alz.13977,no,open/full
10.1002/alz.14459,Regional brain iron correlates with transcriptional and cellular signatures in Alzheimer's disease,2025,2025-01-29,21,1,,journal-article,10,Aocai Yang,Guolin Ma,https://doi.org/10.1002/alz.14459,yes,open/full
10.1002/alz.14541,"Iron‐associated lipid peroxidation in Alzheimer's disease is increased in lipid rafts with decreased ferroptosis suppressors, tested by chelation in mice",2025,2025-01-29,21,1,,journal-article,15,Max A. Thorwald,Caleb E. Finch,https://doi.org/10.1002/alz.14541,yes,open/full
10.1002/alz.14186,Alzheimer's Disease Neuroimaging Initiative: Two decades of pioneering Alzheimer's disease research and future directions,2025,2025-01-06,21,1,,journal-article,4,Ozioma C. Okonkwo,,https://doi.org/10.1002/alz.14186,no,open/full
10.1002/alz.14576,Variability of cognitive changes after donanemab treatment,2025,2025-01-29,21,1,,journal-article,1,Roger A. L. Dampney,Roger A. L. Dampney,https://doi.org/10.1002/alz.14576,no,open/full
10.1002/alz.14338,Updated appropriate use criteria for amyloid and tau PET: A report from the Alzheimer's Association and Society for Nuclear Medicine and Molecular Imaging Workgroup,2025,2025-01-08,21,1,,journal-article,16,Gil D. Rabinovici,Keith A. Johnson,https://doi.org/10.1002/alz.14338,yes,open/full
10.1002/alz.14433,"Retinal dysfunction in
                    <i>APOE4</i>
                    knock‐in mouse model of Alzheimer's disease",2025,2025-01-03,21,2,,journal-article,8,Surabhi D. Abhyankar,Ashay D. Bhatwadekar,https://doi.org/10.1002/alz.14433,yes,open/full
10.1002/alz.14454,"Vascular risk factors and cerebrovascular pathologic changes on autopsy:
                    <i>The 90+ Study</i>",2025,2025-01-07,21,2,,journal-article,8,Ravi Rajmohan,Claudia Kawas,https://doi.org/10.1002/alz.14454,yes,open/full
10.1002/alz.14510,Developing machine‐learning‐based amyloidogenicity predictors with Cross‐Beta DB,2025,2025-01-08,21,2,,journal-article,4,Valentin Gonay,Andrey V. Kajava,https://doi.org/10.1002/alz.14510,yes,open/full
10.1002/alz.14482,"Plasma p‐tau
                    <sub>217</sub>
                    and neurofilament/p‐tau
                    <sub>217</sub>
                    ratio in differentiating Alzheimer's disease from syndromes associated with frontotemporal lobar degeneration",2025,2025-01-08,21,2,,journal-article,11,Alberto Benussi,Barbara Borroni,https://doi.org/10.1002/alz.14482,yes,open/full
10.1002/alz.14480,The MR1/MAIT cell axis enhances dystrophic neurite development in Alzheimer's disease,2025,2025-01-08,21,2,,journal-article,7,Season K. Wyatt‐Johnson,Randy R. Brutkiewicz,https://doi.org/10.1002/alz.14480,yes,open/full
10.1002/alz.14499,Mapping amyloid beta predictors of entorhinal tau in preclinical Alzheimer's disease,2025,2025-01-08,21,2,,journal-article,6,Jafar Zamani,,https://doi.org/10.1002/alz.14499,yes,open/full
10.1002/alz.14477,The etiology and prevention of early‐stage tau pathology in higher cortical circuits: Insights from aging rhesus macaques,2025,2025-01-08,21,2,,journal-article,2,Dibyadeep Datta,Amy F. T. Arnsten,https://doi.org/10.1002/alz.14477,yes,open/full
10.1002/alz.14521,Pathological angiogenesis was associated with cerebrovascular lesion and neurodegeneration in Alzheimer's disease,2025,2025-01-08,21,2,,journal-article,6,Feng Gao,Yong Shen,https://doi.org/10.1002/alz.14521,yes,open/full
10.1002/alz.14520,Response to “Variability of cognitive changes after donanemab treatment”,2025,2025-01-08,21,2,,journal-article,3,Timothy Daly,Bruno P. Imbimbo,https://doi.org/10.1002/alz.14520,no,open/full
10.1002/alz.14503,Identification of risk factors and development of a predictive nomogram for sarcopenia in Alzheimer's disease,2025,2025-01-08,21,2,,journal-article,7,Sihui Chen,Huifang Shang,https://doi.org/10.1002/alz.14503,yes,open/full
10.1002/alz.14456,"Menopausal hormone therapy is associated with worse levels of Alzheimer's disease biomarkers in
                    <i>APOE</i>
                    ε4‐carrying women: An observational study",2025,2025-01-09,21,2,,journal-article,12,Ainara Jauregi‐Zinkunegi,Davide Bruno,https://doi.org/10.1002/alz.14456,yes,open/full
10.1002/alz.14450,Neuropsychological test performance in mild cognitive impairment with Lewy bodies: A systematic review and meta‐analysis,2025,2025-01-10,21,2,,journal-article,12,Kathryn A. Wyman‐Chick,,https://doi.org/10.1002/alz.14450,yes,open/full
10.1002/alz.14515,Cognitive aging outcomes are related to both tau pathology and maintenance of cingulate cortex structure,2025,2025-01-14,21,2,,journal-article,6,Stefania Pezzoli,William J. Jagust,https://doi.org/10.1002/alz.14515,yes,open/full
10.1002/alz.14519,Decoding brain structure to stage Alzheimer's disease pathology in Down syndrome,2025,2025-01-14,21,2,,journal-article,18,James T. Kennedy,,https://doi.org/10.1002/alz.14519,yes,open/full
10.1002/alz.14540,Unraveling the bidirectional link between cancer and dementia and the impact of cancer therapies on dementia risk: A systematic review and meta‐analysis,2025,2025-01-14,21,2,,journal-article,5,Liwei Ma,Yijun Pan,https://doi.org/10.1002/alz.14540,yes,open/full
10.1002/alz.14509,Response to the letter titled “Analysis of semaglutide's effect on Alzheimer's disease risk”,2025,2025-01-14,21,2,,journal-article,1,Rong Xu,Rong Xu,https://doi.org/10.1002/alz.14509,no,open/full
10.1002/alz.14512,Unraveling the transcriptomic landscape of brain vascular cells in dementia: A systematic review,2025,2025-01-14,21,2,,journal-article,3,Michael Sewell,Axel Montagne,https://doi.org/10.1002/alz.14512,yes,open/full
10.1002/alz.14543,Inhibition of IFITM3 in cerebrovascular endothelium alleviates Alzheimer's‐related phenotypes,2025,2025-01-14,21,2,,journal-article,16,Yijia Feng,Weihong Song,https://doi.org/10.1002/alz.14543,yes,open/full
10.1002/alz.14502,Clinical utility of plasma p‐tau217 in identifying abnormal brain amyloid burden in an Asian cohort with high prevalence of concomitant cerebrovascular disease,2025,2025-01-14,21,2,,journal-article,10,Joyce R. Chong,Mitchell K. P. Lai,https://doi.org/10.1002/alz.14502,yes,open/full
10.1002/alz.14511,Multimodal imaging of murine cerebrovascular dynamics induced by transcranial pulse stimulation,2025,2025-01-14,21,2,,journal-article,9,Maria Eleni Karakatsani,Xosé Luís Deán‐Ben,https://doi.org/10.1002/alz.14511,yes,open/full
10.1002/alz.14513,An evaluation of a community dementia screening program in rural Kenya: DEM‐SKY,2025,2025-01-14,21,2,,journal-article,4,Nicolas Farina,David M. Ndetei,https://doi.org/10.1002/alz.14513,yes,open/full
10.1002/alz.14478,Virginia Memory Project: Using the Healthy Brain Initiative Roadmap to design a statewide dementia registry,2025,2025-01-16,21,2,,journal-article,13,Annie Rhodes,Daniel Bluestein,https://doi.org/10.1002/alz.14478,yes,open/full
10.1002/alz.14491,Estimated pulse wave velocity associated with cognitive phenotypes in a rural older population in China: A cohort study,2025,2025-01-17,21,2,,journal-article,15,Jiahui Li,Chengxuan Qiu,https://doi.org/10.1002/alz.14491,yes,open/full
10.1002/alz.14516,White matter hyperintensities and TDP‐43 pathology in Alzheimer's disease,2025,2025-01-17,21,2,,journal-article,8,Arenn F. Carlos,Keith A. Josephs,https://doi.org/10.1002/alz.14516,yes,open/full
10.1002/alz.14507,Plasma proteomic biomarkers as mediators or moderators for the association between poor cardiovascular health and white matter microstructural integrity: The UK Biobank study,2025,2025-01-17,21,2,,journal-article,14,May A. Beydoun,Alan B. Zonderman,https://doi.org/10.1002/alz.14507,yes,open/full
10.1002/alz.14472,Searching for responders to multidomain dementia prevention in late life: A pooled analysis of individual participant data from the MAPT and preDIVA trials,2025,2025-01-17,21,2,,journal-article,9,Nicola Coley,,https://doi.org/10.1002/alz.14472,yes,open/full
10.1002/alz.14552,Long‐range inputome of prefrontal GABAergic interneurons in the Alzheimer's disease mouse,2025,2025-01-17,21,2,,journal-article,10,Miao Ren,Xiangning Li,https://doi.org/10.1002/alz.14552,yes,open/full
10.1002/alz.14475,Neural deterioration and compensation in visual short‐term memory among individuals with amnestic mild cognitive impairment,2025,2025-01-17,21,2,,journal-article,7,Ye Xie,Yixuan Ku,https://doi.org/10.1002/alz.14475,yes,open/full
10.1002/alz.14539,Usage patterns of cognitive assessments during Medicare's Annual Wellness Visit: A national survey,2025,2025-01-17,21,2,,journal-article,3,Ying Liu,Soeren Mattke,https://doi.org/10.1002/alz.14539,yes,open/full
10.1002/alz.14550,Plasma N‐terminal tau fragment is an amyloid‐dependent biomarker in Alzheimer's disease,2025,2025-01-17,21,3,,journal-article,27,Guoyu Lan,Tengfei Guo,https://doi.org/10.1002/alz.14550,yes,open/full
10.1002/alz.14497,Neuron‐derived extracellular vesicles as a liquid biopsy for brain insulin dysregulation in Alzheimer's disease and related disorders,2025,2025-01-17,21,2,,journal-article,4,Jacob Alexander Cleary,Gagan Deep,https://doi.org/10.1002/alz.14497,yes,open/full
10.1002/alz.14517,South Korean study to prevent cognitive impairment and protect brain health through multidomain interventions via face‐to‐face and video communication platforms in mild cognitive impairment (SUPERBRAIN‐MEET): A randomized controlled trial,2025,2025-01-22,21,2,,journal-article,21,So Young Moon,Seong Hye Choi,https://doi.org/10.1002/alz.14517,yes,open/full
10.1002/alz.14514,"Hearing and cognitive scores measured with the Montreal Cognitive Assessment Scale in The HUNT Study, Norway",2025,2025-01-23,21,2,,journal-article,6,Christian Myrstad,Geir Selbæk,https://doi.org/10.1002/alz.14514,yes,open/full
10.1002/alz.14400,"Educational attainment, Aβ, tau, and structural brain reserve in Alzheimer's disease",2025,2025-01-24,21,2,,journal-article,10,Yue Cai,,https://doi.org/10.1002/alz.14400,yes,open/full
10.1002/alz.14381,Polygenic risk discriminates Lewy body dementia from Alzheimer's disease,2025,2025-01-24,21,2,,journal-article,16,Anna McKeever,John T. O'Brien,https://doi.org/10.1002/alz.14381,yes,open/full
10.1002/alz.14557,Mediation of modifiable risk factors in two multidomain dementia prevention trials,2025,2025-01-27,21,2,,journal-article,10,Marieke P. Hoevenaar‐Blom,,https://doi.org/10.1002/alz.14557,yes,open/full
10.1002/alz.14351,Identifying gait differences between Alzheimer's disease and dementia with Lewy bodies and their associations with regional amyloid deposition,2025,2025-01-27,21,2,,journal-article,11,Salma Elasfar,Kaylena Ehgoetz Martens,https://doi.org/10.1002/alz.14351,yes,open/full
10.1002/alz.14479,A neuropathology case report of a woman with Down syndrome who remained cognitively stable: Implications for resilience to neuropathology,2025,2025-01-27,21,2,,journal-article,25,Jr‐Jiun Liou,,https://doi.org/10.1002/alz.14479,yes,open/full
10.1002/alz.14485,Prevalence of dementia in Singapore: Changes across a decade,2025,2025-01-27,21,2,,journal-article,22,Mythily Subramaniam,Siow Ann Chong,https://doi.org/10.1002/alz.14485,yes,open/full
10.1002/alz.14524,An unsupervised learning approach for clustering joint trajectories of Alzheimer's disease biomarkers: An application to ADNI Data,2025,2025-01-27,21,2,,journal-article,4,Teresa Filshtein Sönmez,,https://doi.org/10.1002/alz.14524,yes,open/full
10.1002/alz.14495,Association of rapid eye movement sleep latency with multimodal biomarkers of Alzheimer's disease,2025,2025-01-27,21,2,,journal-article,11,Jiangli Jin,Yue Leng,https://doi.org/10.1002/alz.14495,yes,open/full
10.1002/alz.14527,Investing in equitable healthy aging: Why Africa must reform social pension schemes to improve Alzheimer's disease and dementia outcomes,2025,2025-01-27,21,2,,journal-article,14,Cyprian M. Mostert,Zul Merali,https://doi.org/10.1002/alz.14527,yes,open/full
10.1002/alz.14391,Challenges in multimorbidity and cognitive function studies: A call for rigorous analysis and reporting,2025,2025-01-27,21,2,,journal-article,2,Xiaozhi Chen,Zhiqiang Zhang,https://doi.org/10.1002/alz.14391,no,open/full
10.1002/alz.14452,Accelerometer‐measured physical activity timing with incident dementia,2025,2025-01-27,21,2,,journal-article,4,Yuye Ning,Jianping Jia,https://doi.org/10.1002/alz.14452,yes,open/full
10.1002/alz.14542,Current practices by Alzheimer's Disease Research Centers to remunerate research participants,2025,2025-01-27,21,2,,journal-article,8,Matthew Gabel,Jessica Mozersky,https://doi.org/10.1002/alz.14542,yes,open/full
10.1002/alz.14404,"Response to the Letter, “Circulating small RNAs shed light on dementia risk,” by Anthony S. Zannas",2025,2025-01-27,21,2,,journal-article,4,Andre Fischer,Ivana Delalle,https://doi.org/10.1002/alz.14404,no,open/full
10.1002/alz.14546,Circulating small RNAs shed new light on dementia risk,2025,2025-01-27,21,2,,journal-article,1,Anthony S. Zannas,Anthony S. Zannas,https://doi.org/10.1002/alz.14546,no,open/full
10.1002/alz.14523,Offspring education and cognitive health: A comparison between Hispanic and White older adults in the United States,2025,2025-01-27,21,2,,journal-article,6,Erika Meza,Jacqueline M. Torres,https://doi.org/10.1002/alz.14523,yes,open/full
10.1002/alz.14506,Malnutrition exacerbating neuropsychiatric symptoms on the Alzheimer's continuum is relevant to the cAMP signaling pathway: Human and mouse studies,2025,2025-01-27,21,2,,journal-article,16,Jiwei Jiang,Jun Xu,https://doi.org/10.1002/alz.14506,yes,open/full
10.1002/alz.14562,The association between adult child education and cognitive functioning among older parents: A cross‐national comparison of diverse contexts,2025,2025-01-27,21,2,,journal-article,5,Emma Nichols,Jaqueline M. Torres,https://doi.org/10.1002/alz.14562,yes,open/full
10.1002/alz.14548,Exploring the role of T cells in Alzheimer's and other neurodegenerative diseases: Emerging therapeutic insights from the T Cells in the Brain symposium,2025,2025-01-27,21,2,,journal-article,19,Wassim Elyaman,Serge Przedborski,https://doi.org/10.1002/alz.14548,yes,open/full
10.1002/alz.14457,Avoiding causal fraud in the evaluation of clinical benefits of treatments for Alzheimer's disease,2025,2025-01-27,21,2,,journal-article,3,Kathy Y. Liu,Robert Howard,https://doi.org/10.1002/alz.14457,yes,open/full
10.1002/alz.14530,Natural language processing‐based classification of early Alzheimer's disease from connected speech,2025,2025-01-27,21,2,,journal-article,12,Helena Balabin,Rik Vandenberghe,https://doi.org/10.1002/alz.14530,yes,open/full
10.1002/alz.14547,Nutrition: A non‐negligible factor in the pathogenesis and treatment of Alzheimer's disease,2025,2025-01-27,21,2,,journal-article,17,Boye Wen,Cuibai Wei,https://doi.org/10.1002/alz.14547,yes,open/full
10.1002/alz.14492,A multi‐cohort study of longitudinal and cross‐sectional Alzheimer's disease biomarkers in cognitively unimpaired older adults,2025,2025-01-27,21,2,,journal-article,25,Long Xie,,https://doi.org/10.1002/alz.14492,yes,open/full
10.1002/alz.14490,Compositional brain scores capture Alzheimer's disease–specific structural brain patterns along the disease continuum,2025,2025-01-27,21,2,,journal-article,12,Patricia Genius,,https://doi.org/10.1002/alz.14490,yes,open/full
10.1002/alz.14545,Linking higher amyloid beta 1‐38 (Aβ(1‐38)) levels to reduced Alzheimer's disease progression risk,2025,2025-01-27,21,2,,journal-article,33,Luisa Sophie Schneider,Oliver Peters,https://doi.org/10.1002/alz.14545,yes,open/full
10.1002/alz.14424,Sleep spindles and slow oscillations predict cognition and biomarkers of neurodegeneration in mild to moderate Alzheimer's disease,2025,2025-01-29,21,2,,journal-article,8,Arsenio Páez,Gerard Piñol Ripoll,https://doi.org/10.1002/alz.14424,yes,open/full
10.1002/alz.14465,"Dual sensory impairment: Global prevalence, future projections, and its association with cognitive decline",2025,2025-01-30,21,2,,journal-article,16,Brian Sheng Yep Yeo,Ecosse L. Lamoureux,https://doi.org/10.1002/alz.14465,yes,open/full
10.1002/alz.14500,Hippocampal neuronal loss and cognitive decline in LATE‐NC and ADNC among community‐dwelling older persons,2025,2025-01-30,21,2,,journal-article,7,Sonal Agrawal,Julie A Schneider,https://doi.org/10.1002/alz.14500,yes,open/full
10.1002/alz.14536,Plasma p‐tau217 and p‐tau217/Aβ1‐42 are effective biomarkers for identifying CSF‐ and PET imaging‐diagnosed Alzheimer's disease: Insights for research and clinical practice,2025,2025-01-30,21,2,,journal-article,33,Xiaomei Zhong,Yuping Ning,https://doi.org/10.1002/alz.14536,yes,open/full
10.1002/alz.14414,Biomarker treatment effects in two phase 3 trials of gantenerumab,2025,2025-01-30,21,2,,journal-article,16,Tobias Bittner,Frederik Barkhof,https://doi.org/10.1002/alz.14414,yes,open/full
10.1002/alz.14518,Cranial bone maneuver ameliorates Alzheimer's disease pathology via enhancing meningeal lymphatic drainage function,2025,2025-01-30,21,2,,journal-article,27,Xuan Lu,Gang Li,https://doi.org/10.1002/alz.14518,yes,open/full
10.1002/alz.14429,Plasma proteomic characterization of motoric cognitive risk and mild cognitive impairment,2025,2025-01-30,21,2,,journal-article,17,Gabriela T. Gomez,Keenan A. Walker,https://doi.org/10.1002/alz.14429,yes,open/full
10.1002/alz.14398,Predicting conversion in cognitively normal and mild cognitive impairment individuals with machine learning: Is the CSF status still relevant?,2025,2025-01-30,21,2,,journal-article,11,Mirella Russo,,https://doi.org/10.1002/alz.14398,yes,open/full
10.1002/alz.14501,A brain DNA co‐methylation network analysis of psychosis in Alzheimer's disease,2025,2025-02-12,21,2,,journal-article,16,Morteza Kouhsar,Katie Lunnon,https://doi.org/10.1002/alz.14501,yes,open/full
10.1002/alz.70004,Tau pathology is associated with postsynaptic metabotropic glutamate receptor 5 (mGluR5) in early Alzheimer's disease in a sex‐specific manner,2025,2025-02-25,21,2,,journal-article,13,Yan Wang,Fang Xie,https://doi.org/10.1002/alz.70004,yes,open/full
10.1002/alz.14609,A head‐to‐head comparison of plasma biomarkers to detect Alzheimer's disease in a memory clinic,2025,2025-02-25,21,2,,journal-article,27,Federica Anastasi,Marc Suárez‐Calvet,https://doi.org/10.1002/alz.14609,yes,open/full
10.1002/alz.70056,"World Dementia Council: Research and clinical trials dialogue, Latin America and Caribbean series",2025,2025-02-26,21,2,,journal-article,0,,,https://doi.org/10.1002/alz.70056,no,open/full
10.1002/alz.14582,Role of tau versus TDP‐43 pathology on medial temporal lobe atrophy in aging and Alzheimer's disease,2025,2025-02-22,21,2,,journal-article,5,Laura E. M. Wisse,Renaud La Joie,https://doi.org/10.1002/alz.14582,yes,open/full
10.1002/alz.14617,Development and internal validation of a risk prediction model for dementia in a rural older population in China,2025,2025-02-23,21,2,,journal-article,14,Keke Liu,Chengxuan Qiu,https://doi.org/10.1002/alz.14617,yes,open/full
10.1002/alz.14620,Reply to “Associations of semaglutide with first‐time diagnosis of Alzheimer's disease in patients with type 2 diabetes: Target trial emulation using nationwide real‐world data in the US”,2025,2025-02-14,21,2,,journal-article,1,Michael G. Rydberg,Michael G. Rydberg,https://doi.org/10.1002/alz.14620,no,open/full
10.1002/alz.70015,Education and midlife cognitive functioning: Evidence from the High School and Beyond cohort,2025,2025-02-26,21,2,,journal-article,7,Chandra Muller,John Robert Warren,https://doi.org/10.1002/alz.70015,yes,open/full
10.1002/alz.70006,Life span policies and macroeconomic transition will help the 21st‐century brain health revolution in developing countries,2025,2025-02-24,21,2,,journal-article,12,Cyprian M. Mostert,Zul Merali,https://doi.org/10.1002/alz.70006,yes,open/full
10.1002/alz.70005,"Associations of hippocampal volumes, brain hypometabolism, and plasma NfL with amyloid, tau, and cognitive decline",2025,2025-02-24,21,2,,journal-article,9,Feng‐Feng Pan,Qi‐Hao Guo,https://doi.org/10.1002/alz.70005,yes,open/full
10.1002/alz.70020,"Register now for the Tau Global Conference, April 24 and 25, in London and online",2025,2025-02-24,21,2,,journal-article,0,,,https://doi.org/10.1002/alz.70020,no,open/full
10.1002/alz.14488,Mapping reactive astrogliosis in Parkinson's brain with astroglial tracers BU99008 and Deprenyl: New insights from a multi‐marker postmortem study,2025,2025-02-12,21,2,,journal-article,4,Filipa M. Rocha,Amit Kumar,https://doi.org/10.1002/alz.14488,yes,open/full
10.1002/alz.14505,Prevalence of subjective cognitive decline and its association with physical health problems among urban community dwelling elderly population in South India,2025,2025-02-12,21,2,,journal-article,4,Jayakumar Menon,Jyothsna Devi Kuchipudi,https://doi.org/10.1002/alz.14505,yes,open/full
10.1002/alz.14568,"Parallel changes in cognition, neuropsychiatric symptoms, and amyloid in cognitively unimpaired older adults and those with mild cognitive impairment",2025,2025-02-12,21,2,,journal-article,6,Alyssa N. De Vito,,https://doi.org/10.1002/alz.14568,yes,open/full
10.1002/alz.14613,Characterizing the olfaction and dementia association in the community‐based ARIC study,2025,2025-02-23,21,2,,journal-article,10,Srishti Shrestha,Honglei Chen,https://doi.org/10.1002/alz.14613,yes,open/full
10.1002/alz.14595,Human herpesvirus‐associated transposable element activation in human aging brains with Alzheimer's disease,2025,2025-02-22,21,2,,journal-article,12,Yayan Feng,Feixiong Cheng,https://doi.org/10.1002/alz.14595,yes,open/full
10.1002/alz.14525,"Prevalence of idiopathic normal pressure hydrocephalus in older adult population in Shanghai, China: A population‐based observational study",2025,2025-02-14,21,2,,journal-article,10,Xuhao Fang,Jin Hu,https://doi.org/10.1002/alz.14525,yes,open/full
10.1002/alz.14625,"Tau‐related reduction of glucose metabolism in mild cognitive impairment occurs independently of
                    <i>APOE</i>
                    ε4 genotype and is influenced by Aβ",2025,2025-02-23,21,2,,journal-article,5,Felix Carbonell,,https://doi.org/10.1002/alz.14625,yes,open/full
10.1002/alz.14558,Predicting survival rate by plasma biomarkers and clinical variables in syndromes associated with frontotemporal lobar degeneration,2025,2025-02-12,21,2,,journal-article,15,Maria Sofia Cotelli,Barbara Borroni,https://doi.org/10.1002/alz.14558,yes,open/full
10.1002/alz.70000,Issue Information,2025,2025-02-05,21,2,,journal-article,0,,,https://doi.org/10.1002/alz.70000,no,open/full
10.1002/alz.70049,Individual and joint associations between sleep duration and physical activity with cognitive function: a longitudinal analysis among middle‐aged and older adults in China,2025,2025-02-26,21,2,,journal-article,1,Zhiyi Zhang,Zhiyi Zhang,https://doi.org/10.1002/alz.70049,no,open/full
10.1002/alz.14599,Physical activity may protect myelin via modulation of high‐density lipoprotein,2025,2025-02-23,21,2,,journal-article,10,Nárlon C. Boa Sorte Silva,Teresa Liu‐Ambrose,https://doi.org/10.1002/alz.14599,yes,open/full
10.1002/alz.14498,Long non‐coding RNAs as key regulators of neurodegenerative protein aggregation,2025,2025-02-12,21,2,,journal-article,5,Qi Xu,He‐Zhou Huang,https://doi.org/10.1002/alz.14498,yes,open/full
10.1002/alz.14555,Massive changes in gene expression and their cause(s) can be a unifying principle in the pathobiology of Alzheimer's disease,2025,2025-02-06,21,2,,journal-article,5,Paul D. Coleman,Carol J. Huseby,https://doi.org/10.1002/alz.14555,yes,open/full
10.1002/alz.14596,Identification of small fiber neuropathy in neuronal intranuclear inclusion disease: A clinicopathological study,2025,2025-02-23,21,2,,journal-article,21,Minglei Liu,Jing Yang,https://doi.org/10.1002/alz.14596,yes,open/full
10.1002/alz.70008,RETRACTED: Correction to “Incidence of dementia in the German Heinz Nixdorf Recall study over 20 years”,2025,2025-02-25,21,2,,journal-article,0,,,https://doi.org/10.1002/alz.70008,no,open/full
10.1002/alz.70028,Eating and swallowing care disparities in persons with dementia: A conceptual framework,2025,2025-02-26,21,2,,journal-article,10,Raele Donetha Loy,Amy Kind,https://doi.org/10.1002/alz.70028,yes,open/full
10.1002/alz.14585,"Influence of cognitive impairment and race on plasma p‐Tau
                    <sub>217</sub>
                    in two diverse cohorts",2025,2025-02-23,21,2,,journal-article,12,Ashima Nayyar,William T. Hu,https://doi.org/10.1002/alz.14585,yes,open/full
10.1002/alz.14571,Influence of alpha‐synuclein on glucose metabolism in Alzheimer's disease continuum: Analyses of α‐synuclein seed amplification assay and FDG‐PET,2025,2025-02-12,21,2,,journal-article,13,Elijah Mak,,https://doi.org/10.1002/alz.14571,yes,open/full
10.1002/alz.14588,Earnings losses in young‐onset dementia: Population‐based study with admin data,2025,2025-02-23,21,2,,journal-article,5,Gaia Bagnasco,Bram Wouterse,https://doi.org/10.1002/alz.14588,yes,open/full
10.1002/alz.14526,Differential roles of Alzheimer's disease plasma biomarkers in stepwise biomarker‐guided diagnostics,2025,2025-02-05,21,2,,journal-article,25,Hyemin Jang,,https://doi.org/10.1002/alz.14526,yes,open/full
10.1002/alz.14610,"Evaluation of two plasma‐based proteotyping assays against
                    <i>APOE</i>
                    ε4 genotyping in a memory clinic setting: The Gothenburg H70 Clinical Studies",2025,2025-02-23,21,2,,journal-article,9,Anna Dittrich,Silke Kern,https://doi.org/10.1002/alz.14610,yes,open/full
10.1002/alz.14563,Transcriptome analysis of early‐ and late‐onset Alzheimer's disease in Korean cohorts,2025,2025-02-12,21,2,,journal-article,19,Sang‐Won Han,Young Ho Park,https://doi.org/10.1002/alz.14563,yes,open/full
10.1002/alz.14593,Retinal vascular alterations in cognitive impairment: A multicenter study in China,2025,2025-02-23,21,2,,journal-article,16,Qin Shi,Jiayi Zhang,https://doi.org/10.1002/alz.14593,yes,open/full
10.1002/alz.14629,Plasma Alzheimer's disease biomarker relationships with incident abnormal amyloid PET,2025,2025-02-24,21,2,,journal-article,18,Petrice M. Cogswell,Clifford R. Jack,https://doi.org/10.1002/alz.14629,yes,open/full
10.1002/alz.14577,Plasma proteomics for cognitive decline and dementia—A Southeast Asian cohort study,2025,2025-02-25,21,2,,journal-article,17,Ming Ann Sim,Christopher L. H. Chen,https://doi.org/10.1002/alz.14577,yes,open/full
10.1002/alz.14579,SSRIs reduce plasma tau and restore dorsal raphe metabolism in Alzheimer's disease,2025,2025-02-12,21,2,,journal-article,6,Dylan J. Terstege,Derya Sargin,https://doi.org/10.1002/alz.14579,yes,open/full
